  Run_nr	    Time	   Alpha	Delta_Pb	   P_bar	       T	     rpm	     rho	    P001	    P002	    P003	    P004	    P005	    P006	    P007	    P008	    P009	    P010	    P011	    P012	    P013	    P014	    P015	    P016	    P017	    P018	    P019	    P020	    P021	    P022	    P023	    P024	    P025	    P026	    P027	    P028	    P029	    P030	    P031	    P032	    P033	    P034	    P035	    P036	    P037	    P038	    P039	    P040	    P041	    P042	    P043	    P044	    P045	    P046	    P047	    P048	    P049	    P050	    P051	    P052	    P053	    P054	    P055	    P056	    P057	    P058	    P059	    P060	    P061	    P062	    P063	    P064	    P065	    P066	    P067	    P068	    P069	    P070	    P071	    P072	    P073	    P074	    P075	    P076	    P077	    P078	    P079	    P080	    P081	    P082	    P083	    P084	    P085	    P086	    P087	    P088	    P089	    P090	    P091	    P092	    P093	    P094	    P095	    P096	    P097	    P098	    P099	    P100	    P101	    P102	    P103	    P104	    P105	    P106	    P107	    P108	    P109	    P110	    P111	    P112	    P113
       /	   H:M:S	 degrees	      Pa	     hPa	 degr._C	   1/min	  kg/m^3	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa	      Pa
       1	 09:30:20	 -10.000	  116.02	 1017.91	   19.38	  819.88	   1.212	   -2.72	  185.60	  252.05	  166.91	  109.44	   77.08	   45.12	   23.27	   12.35	    5.10	   -1.82	  -11.59	  -19.55	  -25.04	  -34.65	  -32.54	  -21.26	  -21.42	  -15.37	  -18.32	  -15.73	   -8.91	   -3.97	   -3.64	  -29.55	   -1.75	 -186.50	 -180.20	 -184.39	 -188.97	 -187.75	 -185.52	 -186.10	 -185.65	 -182.95	 -178.02	 -171.89	 -164.51	 -154.11	 -144.16	 -133.52	 -122.64	 -111.10	 -100.68	  -89.73	  -79.45	  -69.15	  -58.57	  -29.55	  251.82	  252.29	  250.88	  252.14	  251.76	  252.11	  252.86	  251.32	  252.18	  253.30	  252.52	  250.31	  250.76	  249.18	  248.89	  246.74	  245.38	  243.00	  242.74	  239.04	  234.49	  232.14	  227.44	  219.41	  214.94	  206.39	  199.54	  193.08	  186.07	  179.44	  173.12	  170.63	  162.91	  163.47	  159.00	  157.72	  158.65	  162.55	  173.38	  192.91	  211.32	  234.16	  243.15	  247.45	  248.90	  250.84	  249.64	  250.48	    8.88	    7.46	    7.36	    5.51	    2.43	   -3.99	   -1.55	   -5.42	   -4.84	   -3.77	    2.25	    6.49	    2.24	   -0.18	   -0.29	   -0.19
       2	 09:30:41	  -9.500	  117.73	 1017.92	   18.74	  820.02	   1.215	  -10.53	  180.69	  249.24	  166.69	  110.58	   77.61	   46.27	   23.91	   13.03	    6.71	   -1.01	  -10.63	  -18.47	  -24.17	  -32.00	  -31.84	  -19.69	  -19.93	  -14.61	  -16.93	  -14.38	   -7.29	   -2.65	   -2.34	  -27.10	   -9.01	 -197.57	 -190.95	 -193.75	 -195.80	 -192.50	 -187.76	 -186.28	 -184.56	 -180.83	 -176.04	 -169.55	 -162.27	 -151.85	 -141.10	 -129.97	 -117.98	 -106.34	  -95.49	  -84.05	  -74.13	  -64.44	  -55.01	  -27.10	  249.49	  249.93	  248.38	  249.67	  249.11	  248.75	  249.20	  246.83	  246.57	  246.83	  244.28	  241.22	  241.11	  239.46	  239.51	  237.92	  236.73	  234.11	  233.91	  230.68	  226.55	  224.34	  221.25	  214.46	  210.81	  204.18	  198.61	  193.66	  188.41	  183.94	  179.21	  178.61	  227.41	  235.91	  242.87	  246.95	  248.53	  250.01	  249.06	  250.09	  249.28	  252.78	  251.29	  250.85	  251.24	  253.14	  251.57	  252.66	   15.26	    3.34	   -0.03	   -3.35	   -4.51	   -1.83	   -4.07	    2.97	    9.74	   14.06	   15.67	    5.56	    1.82	   -0.10	   -0.29	   -0.08
       3	 09:31:03	  -9.000	  115.94	 1017.94	   18.08	  819.97	   1.218	  -13.30	  184.57	  250.96	  165.78	  108.91	   76.06	   44.58	   22.26	   12.48	    5.51	   -1.67	  -11.00	  -18.26	  -23.88	  -31.78	  -30.88	  -18.41	  -18.46	  -12.08	  -14.65	  -11.85	   -4.29	    0.69	    1.45	  -17.28	  -12.65	 -204.35	 -202.06	 -205.64	 -209.02	 -205.68	 -201.60	 -200.73	 -197.90	 -192.48	 -184.89	 -175.50	 -165.31	 -151.70	 -137.52	 -124.28	 -110.28	  -96.29	  -83.59	  -71.04	  -59.95	  -49.76	  -41.27	  -17.28	  250.96	  251.47	  250.02	  251.20	  250.79	  251.00	  251.36	  248.19	  245.17	  240.34	  229.70	  221.88	  216.42	  210.35	  203.96	  196.75	  189.03	  183.12	  178.99	  173.47	  167.27	  167.05	  165.27	  163.63	  165.83	  168.67	  173.50	  179.30	  186.19	  196.09	  204.74	  216.78	  228.32	  238.84	  242.02	  244.38	  244.82	  245.49	  244.45	  244.99	  243.89	  247.65	  246.29	  245.75	  246.18	  247.81	  246.91	  247.73	   14.78	    6.01	    3.32	    0.72	   -1.72	    0.91	   -1.32	    5.40	   11.52	   14.50	   15.19	    7.30	    1.61	   -0.09	   -0.29	   -0.06
       4	 09:31:21	  -8.500	  115.30	 1017.94	   17.66	  819.84	   1.219	  -24.78	  180.89	  245.43	  161.66	  104.26	   72.29	   42.03	   20.26	   11.75	    4.12	   -2.05	  -10.94	  -18.66	  -22.67	  -30.34	  -29.47	  -16.53	  -16.35	   -9.81	  -11.44	   -8.02	   -0.69	    4.44	    5.89	   -6.20	  -23.92	 -224.43	 -221.32	 -224.81	 -227.22	 -222.62	 -216.76	 -212.70	 -206.35	 -196.26	 -183.42	 -169.01	 -153.41	 -135.08	 -117.92	 -101.84	  -87.60	  -74.35	  -63.24	  -52.32	  -42.49	  -32.96	  -24.89	   -6.20	  246.43	  246.61	  245.01	  246.31	  246.00	  246.04	  246.42	  243.96	  242.62	  239.83	  233.11	  226.40	  221.96	  216.05	  210.49	  203.00	  195.48	  188.79	  184.25	  177.75	  170.50	  169.02	  166.19	  163.62	  165.22	  167.04	  171.76	  178.22	  186.43	  197.83	  207.41	  219.58	  235.30	  242.49	  245.65	  246.03	  245.25	  245.38	  244.24	  244.79	  243.56	  247.40	  246.04	  245.50	  245.97	  247.57	  246.68	  247.40	   14.57	    8.55	    6.92	    4.19	    2.03	    3.98	    2.17	    7.92	   12.75	   14.80	   15.09	    8.68	    1.88	   -0.06	   -0.37	   -0.39
       5	 09:31:55	  -8.000	  118.03	 1017.94	   17.25	  820.03	   1.221	  -42.84	  182.77	  249.16	  160.72	  101.68	   68.93	   38.85	   16.58	    9.59	    1.02	   -2.72	  -12.98	  -19.29	  -24.15	  -30.17	  -28.75	  -15.13	  -13.92	   -6.64	   -7.65	   -3.01	    4.58	   10.07	   11.99	   11.89	  -40.89	 -268.67	 -267.16	 -275.60	 -280.41	 -271.14	 -255.43	 -239.39	 -217.04	 -189.28	 -161.20	 -133.94	 -108.60	  -86.25	  -69.58	  -56.60	  -45.73	  -35.80	  -28.21	  -20.39	  -13.63	   -6.93	   -1.04	   11.89	  250.41	  250.70	  249.32	  250.55	  250.29	  250.37	  251.53	  249.91	  250.32	  251.00	  248.02	  244.08	  241.96	  237.21	  232.82	  225.86	  218.66	  210.08	  202.71	  193.08	  181.80	  177.88	  173.48	  169.19	  169.82	  171.59	  178.14	  187.27	  198.68	  213.96	  227.11	  239.27	  246.02	  249.82	  250.38	  249.86	  249.00	  249.11	  247.56	  248.46	  247.49	  250.89	  249.68	  249.19	  249.52	  251.30	  249.92	  251.13	   14.80	   10.60	   10.24	    7.87	    5.71	    6.91	    5.24	   10.33	   14.43	   15.14	   15.23	    9.69	    2.64	   -0.07	   -0.28	   -0.13
       6	 09:32:13	  -7.000	  118.05	 1017.96	   17.22	  820.17	   1.221	  -43.03	  182.99	  248.29	  160.39	  101.03	   68.16	   38.20	   15.51	    9.23	    0.02	   -2.65	  -13.61	  -19.79	  -23.82	  -30.15	  -29.07	  -14.89	  -14.18	   -6.47	   -7.32	   -2.80	    4.66	   10.18	   12.24	   11.58	  -41.64	 -268.87	 -267.15	 -275.75	 -280.45	 -270.44	 -254.28	 -237.41	 -214.78	 -187.19	 -158.60	 -131.01	 -107.02	  -86.03	  -69.61	  -56.30	  -45.64	  -35.84	  -28.31	  -20.20	  -13.68	   -6.99	   -1.03	   11.58	  249.24	  249.71	  248.29	  249.20	  249.13	  249.42	  250.46	  248.91	  249.44	  250.07	  247.54	  244.00	  242.61	  238.67	  234.62	  228.31	  221.55	  212.88	  205.72	  196.63	  185.08	  180.77	  174.90	  170.41	  170.73	  172.81	  179.31	  187.68	  198.49	  213.32	  226.56	  238.43	  251.80	  251.08	  252.28	  251.56	  250.54	  250.82	  249.20	  250.20	  249.33	  252.68	  251.33	  250.94	  251.25	  253.01	  251.45	  252.52	   13.75	   10.29	   11.33	   11.40	   10.49	   10.72	    9.99	   12.12	   14.11	   14.05	   14.12	    9.15	    1.50	   -0.09	   -0.25	   -0.00
       7	 09:32:27	  -6.000	  119.67	 1017.98	   17.25	  820.22	   1.221	  -91.64	  179.93	  248.69	  157.51	   96.91	   63.08	   32.14	   11.90	    4.60	   -3.27	   -3.28	  -16.16	  -21.86	  -25.37	  -31.22	  -28.35	  -13.79	  -12.01	   -3.44	   -3.45	    1.35	    8.26	   13.06	   13.65	   14.74	  -90.61	 -370.31	 -371.20	 -384.02	 -356.47	 -288.08	 -216.80	 -163.64	 -127.00	 -103.06	  -87.96	  -77.27	  -69.05	  -61.33	  -54.29	  -47.87	  -41.48	  -34.32	  -27.61	  -19.60	  -12.20	   -4.58	    2.71	   14.74	  249.77	  250.11	  248.79	  249.69	  249.47	  249.77	  250.90	  249.35	  249.97	  251.24	  250.68	  248.55	  249.57	  248.80	  249.69	  248.42	  247.96	  244.76	  241.18	  233.00	  219.82	  209.81	  197.51	  185.15	  178.76	  175.46	  181.61	  195.37	  214.16	  233.02	  243.82	  250.84	  250.77	  252.64	  251.44	  250.74	  249.80	  250.01	  248.32	  249.39	  248.36	  251.77	  250.44	  250.03	  250.37	  252.13	  250.52	  251.74	   13.87	   11.04	   12.05	   12.18	   12.37	   12.41	   13.00	   13.46	   14.41	   14.26	   14.31	   10.02	    1.53	   -0.11	   -0.27	   -0.04
       8	 09:32:43	  -5.000	  118.78	 1017.96	   17.37	  820.03	   1.221	 -138.46	  184.73	  249.08	  150.71	   86.75	   52.36	   23.14	    6.74	   -4.54	  -10.53	   -7.90	  -22.17	  -26.94	  -30.37	  -35.31	  -31.49	  -16.52	  -13.92	   -4.68	   -4.92	   -0.23	    5.74	    9.36	    8.75	   16.86	 -136.93	 -518.39	 -513.65	 -448.72	 -206.97	 -163.79	 -137.56	 -121.55	 -108.16	  -96.52	  -86.66	  -78.07	  -70.51	  -62.49	  -55.30	  -48.67	  -41.87	  -34.23	  -26.97	  -18.31	  -10.22	   -1.65	    6.43	   16.86	  251.79	  252.10	  250.99	  252.15	  251.83	  251.94	  253.07	  251.48	  252.30	  253.53	  252.89	  251.03	  251.83	  250.98	  252.21	  251.41	  251.84	  251.15	  253.19	  253.28	  251.03	  247.81	  234.81	  210.44	  192.30	  180.80	  190.28	  210.92	  233.26	  247.19	  250.90	  253.99	  249.67	  251.96	  250.45	  249.56	  248.65	  248.80	  247.39	  248.15	  247.22	  250.64	  249.34	  249.02	  249.25	  251.07	  249.59	  250.74	   13.48	   11.55	   12.53	   12.51	   12.57	   11.91	   13.02	   13.82	   14.21	   13.94	   13.93	   10.69	    1.24	   -0.10	   -0.24	   -0.02
       9	 09:32:58	  -4.000	  117.61	 1017.96	   17.52	  820.23	   1.220	  -68.34	  195.35	  237.00	  127.81	   62.70	   31.57	    3.39	  -12.88	  -19.23	  -26.89	  -20.09	  -34.59	  -38.26	  -40.00	  -43.61	  -39.89	  -24.51	  -20.46	  -11.15	  -11.70	   -7.84	   -1.98	    1.30	   -0.20	   20.29	  -67.61	 -463.63	 -432.73	 -338.29	 -167.98	 -143.44	 -120.06	 -105.87	  -94.30	  -84.22	  -75.77	  -68.32	  -61.89	  -54.77	  -48.31	  -42.45	  -36.14	  -28.92	  -22.07	  -13.61	   -5.52	    3.08	   11.53	   20.29	  249.85	  250.25	  248.85	  249.96	  249.57	  249.90	  251.00	  249.50	  250.09	  251.36	  250.79	  248.83	  249.67	  248.94	  250.43	  249.23	  249.90	  249.29	  251.05	  250.91	  247.91	  242.13	  227.11	  204.31	  193.90	  201.06	  221.38	  238.51	  246.39	  249.45	  249.30	  252.00	  247.72	  248.99	  248.63	  247.87	  246.84	  247.00	  245.69	  246.42	  245.35	  248.84	  247.55	  247.20	  247.56	  249.14	  247.83	  248.99	   13.12	   12.12	   13.07	   12.91	   12.83	   12.91	   12.99	   14.01	   14.13	   13.72	   13.68	   11.46	    1.09	   -0.08	   -0.26	    0.04
